Well	Sample Name	Detector	Task	Ct	Avg Ct	Ct SD	Delta Ct	Qty	Avg Qty	Qty SD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Study Values	26.69685364	AXIN	Static Drug																																					
Study Stat Values	3	-10.73726654	 	2.093629441	1.347006337																																			
Study RQ Values	H2O control	59534.04529	3050.124421	1162019.006	-15.86142731	-5953304.529																																		
DDCT Values	41		Static Drug	AXIN	Target	28.042175		-10.737267	2.0936294	1.3470063	0	59534.047	3050.1245	1162019	FALSE	-15.861427																								
42	Static Drug	THSB1	Target	12.915579	13.528426	0.75897807																																		
Rn values	0.08833276	0.105945125	0.11926803	0.12855832	0.13731186	0.14585233	0.15224555	0.15813625	0.16513929	0.1755491	0.18780509	0.20814659	0.23967236	0.30022094	0.40472835	0.5795766	0.85605556	1.2467841	1.7229295	2.2203333	2.669231	3.0494065	3.3346262	3.5339022	3.6838465	3.77569	3.816839	3.8532224	3.8742805	3.8893027	3.9031723	3.9069636	3.9115694	3.9196634	3.9257348	3.9412744	3.9477196	3.9505575	3.9685733	3.9866157
Delta Rn values	-0.016674692	-0.006889274	-0.001393319	7.00E-05	9.97E-04	0.001710129	2.76E-04	-0.00165985	-0.00248376	9.91E-05	0.004528139	0.017042689	0.040741514	0.09346314	0.1901436	0.35716492	0.6258169	1.0087185	1.477037	1.9666139	2.4076846	2.780033	3.0574257	3.248875	3.3909922	3.475009	3.5083308	3.5368872	3.5501184	3.5573137	3.5633564	3.5593207	3.5560994	3.5563667	3.554611	3.5623238	3.560942	3.5559528	3.5661418	3.5763571
Study Values	13.52842585	THSB1	Static Drug																																					
Study Stat Values	3	-23.90569433	 	1.641960925	1.118932476																																			
Study RQ Values	H2O control	3711683.064	314499.8739	4.38E+07	-21.82364209	-3.71E+08																																		
DDCT Values	42		Static Drug	THSB1	Target	12.915579		-23.905695	1.641961	1.1189325	0	3711683	314499.88	4.38E+07	FALSE	-21.823643																								
43	Static Drug	THSB1	Target	13.292298	13.528426	0.75897807																																		
Rn values	0.017567715	0.031606656	0.043330945	0.04815499	0.054904256	0.060836934	0.0662232	0.0700742	0.07669438	0.081756115	0.09187529	0.106715895	0.12950502	0.1748903	0.25451547	0.3935022	0.6211943	0.9581405	1.3964372	1.8812455	2.349028	2.7508307	3.07025	3.3038538	3.4674308	3.5699534	3.6354442	3.670934	3.6932895	3.7071574	3.7208354	3.7295723	3.7433991	3.7461388	3.7543044	3.7596922	3.7668064	3.7720723	3.7801	3.7854776
Delta Rn values	-0.014740761	-0.00624638	-6.66E-05	-7.87E-04	4.18E-04	8.06E-04	6.47E-04	-0.001046189	2.94E-05	-4.53E-04	0.004121225	0.013417269	0.030661838	0.07050255	0.14458317	0.27802533	0.50017285	0.8315745	1.2643266	1.7435904	2.2058284	2.6020865	2.9159613	3.1440203	3.302053	3.399031	3.4589772	3.4889224	3.5057335	3.5140567	3.52219	3.5253825	3.5336647	3.53086	3.533481	3.5333242	3.5348938	3.534615	3.5370984	3.5369313
Study Values	13.52842585	THSB1	Static Drug																																					
Study Stat Values	3	-23.90569433	 	1.641960925	1.118932476																																			
Study RQ Values	H2O control	3711683.064	314499.8739	4.38E+07	-21.82364209	-3.71E+08																																		
DDCT Values	43		Static Drug	THSB1	Target	13.292298		-23.905695	1.641961	1.1189325	0	3711683	314499.88	4.38E+07	FALSE	-21.823643																								
44	Static Drug	THSB1	Target	14.3774	13.528426	0.75897807																																		
Rn values	0.11058298	0.10645683	0.10975998	0.110537	0.112786375	0.11395862	0.116928995	0.11775952	0.12102569	0.12274717	0.12636372	0.13254702	0.14257237	0.16122383	0.19585013	0.25766268	0.36805254	0.5464469	0.8183622	1.1655616	1.5557214	1.9381086	2.267513	2.548022	2.7517927	2.9021816	3.011454	3.0722907	3.1173675	3.1433625	3.1708872	3.1733675	3.1855676	3.1994946	3.2028177	3.207282	3.2111619	3.2136145	3.2143645	3.2195282
Delta Rn values	0.00604136	-1.40E-04	0.001107528	-1.71E-04	2.31E-05	-8.60E-04	5.49E-05	-0.001170017	4.07E-05	-2.93E-04	0.001267938	0.005395818	0.013365753	0.029961793	0.06253268	0.122289814	0.23062426	0.40696323	0.6768231	1.021967	1.4100715	1.7904032	2.1177523	2.396206	2.5979211	2.7462547	2.8534718	2.912253	2.955274	2.9792137	3.004683	3.0051079	3.0152526	3.0271242	3.0283918	3.0308008	3.0326252	3.0330224	3.031717	3.0348253
Study Values	13.52842585	THSB1	Static Drug																																					
Study Stat Values	3	-23.90569433	 	1.641960925	1.118932476																																			
Study RQ Values	H2O control	3711683.064	314499.8739	4.38E+07	-21.82364209	-3.71E+08																																		
DDCT Values	44		Static Drug	THSB1	Target	14.3774		-23.905695	1.641961	1.1189325	0	3711683	314499.88	4.38E+07	FALSE	-21.823643																								
45	Static Drug	ANGP2	Target	24.359356	26.797989	2.4792902																																		
Rn values	0.13357145	0.14350098	0.15598044	0.16638166	0.17803848	0.18652532	0.19259334	0.19821177	0.20413277	0.2101723	0.21570414	0.22076185	0.22293997	0.22880635	0.23185726	0.2355979	0.24172807	0.24622506	0.25165698	0.2561924	0.2651233	0.27346832	0.28493834	0.30183995	0.32782388	0.3702779	0.43889102	0.5484805	0.72044957	0.98238254	1.3568623	1.8331141	2.3538263	2.8381357	3.2392788	3.5494857	3.759934	3.9006984	3.989871	4.055445
Delta Rn values	-0.02290177	-0.018405907	-0.011360128	-0.006392585	-1.69E-04	0.002883721	0.003518067	0.003702829	0.004190145	0.004795999	0.00489417	0.004518202	0.001262644	0.001695347	-6.87E-04	-0.002380458	-0.001683959	-0.002620644	-0.002622399	-0.003520668	-2.34E-05	0.00288791	0.008924254	0.02039219	0.040942445	0.0779628	0.14114223	0.24529806	0.41183344	0.6683327	1.0373788	1.508197	2.0234754	2.5023513	2.8980606	3.202834	3.4078484	3.5431793	3.626918	3.6870587
Study Values	26.79798953	ANGP2	Static Drug																																					
Study Stat Values	3	-10.63613065	 	2.875216142	1.763222603																																			
Study RQ Values	H2O control	1.91E-04	3.90E-06	0.009321214	12.35662709	99.9809329																																		
DDCT Values	45		Static Drug	ANGP2	Target	24.359356		-10.63613	2.8752162	1.7632226	0	1.91E-04	3.90E-06	0.009321215	FALSE	12.356627																								
46	Static Drug	ANGP2	Target	26.718584	26.797989	2.4792902																																		
Rn values	-0.11960736	-0.11877121	-0.11795459	-0.11559876	-0.11610846	-0.11041877	-0.108819716	-0.108777165	-0.10522602	-0.10236625	-0.10293176	-0.102660894	-0.09903186	-0.09910786	-0.09764824	-0.09663463	-0.096002325	-0.09628289	-0.09164012	-0.094876744	-0.090419106	-0.08644579	-0.08288703	-0.08246009	-0.074239485	-0.06471265	-0.04731777	-0.01449433	0.03638466	0.123221345	0.27059758	0.50688857	0.8603924	1.3240262	1.8424356	2.3269725	2.7276185	3.0357475	3.2398539	3.371335
Delta Rn values	5.49E-04	-2.37E-04	-0.001042873	-3.09E-04	-0.002441259	0.00162618	0.001602974	2.33E-05	0.001952159	0.003189674	0.001001903	-3.49E-04	0.001657292	-4.10E-05	-2.04E-04	-8.12E-04	-0.001802202	-0.003705025	-6.85E-04	-0.00554339	-0.002708009	-3.57E-04	0.001579553	3.84E-04	0.006982586	0.014887163	0.03065979	0.06186097	0.111117706	0.19633213	0.3420861	0.57675487	0.92863643	1.390648	1.907435	2.3903496	2.7893734	3.0958803	3.2983644	3.4282231
Study Values	26.79798953	ANGP2	Static Drug																																					
Study Stat Values	3	-10.63613065	 	2.875216142	1.763222603																																			
Study RQ Values	H2O control	1.91E-04	3.90E-06	0.009321214	12.35662709	99.9809329																																		
DDCT Values	46		Static Drug	ANGP2	Target	26.718584		-10.63613	2.8752162	1.7632226	0	1.91E-04	3.90E-06	0.009321215	FALSE	12.356627																								
47	Static Drug	ANGP2	Target	29.316029	26.797989	2.4792902																																		
Rn values	-0.17173404	-0.16298437	-0.15431601	-0.14920847	-0.14330576	-0.1408074	-0.14119196	-0.13978337	-0.14110951	-0.13967647	-0.14036134	-0.14178097	-0.13750403	-0.13944882	-0.13816942	-0.13570185	-0.13536511	-0.1343444	-0.13144986	-0.13017409	-0.1318031	-0.12794909	-0.1299593	-0.12967968	-0.12906623	-0.12427535	-0.12082537	-0.11470708	-0.10012394	-0.07999797	-0.042009883	0.024259897	0.13458718	0.31937426	0.5987929	0.96474904	1.3727148	1.7350096	2.014021	2.2017043
Delta Rn values	-0.021866675	-0.014086803	-0.006388232	-0.002250487	0.002682429	0.004210996	0.002856651	0.003295451	1.00E-03	0.001462769	-1.92E-04	-0.00258132	7.26E-04	-0.002188752	-0.001879144	-3.81E-04	-0.001014418	-9.63E-04	9.61E-04	0.001267236	-0.001331566	0.001552649	-0.001427353	-0.002117525	-0.002473865	0.001347223	0.003827408	0.008975907	0.022589257	0.041745435	0.07876373	0.14406373	0.25342122	0.4372385	0.71568733	1.0806737	1.4876696	1.8489946	2.127036	2.3137498
Study Values	26.79798953	ANGP2	Static Drug																																					
Study Stat Values	3	-10.63613065	 	2.875216142	1.763222603																																			
Study RQ Values	H2O control	1.91E-04	3.90E-06	0.009321214	12.35662709	99.9809329																																		
DDCT Values	47		Static Drug	ANGP2	Target	29.316029		-10.63613	2.8752162	1.7632226	0	1.91E-04	3.90E-06	0.009321215	FALSE	12.356627																								
48	Orbital Control	HPRT	Target	34.407692	34.350445	2.698726																																		
Rn values	-0.12540257	-0.085042916	-0.062978975	-0.047919948	-0.03365766	-0.024083761	-0.018232174	-0.013323158	-0.009994395	-0.009564769	-0.009661851	-0.00624976	-0.006104234	-0.005215047	-0.003664608	-0.002024003	5.63E-04	0.002610221	0.002650284	0.003587731	0.005097487	0.005205522	0.004888834	0.007039531	0.00659423	0.007393454	0.012380743	0.012950748	0.012941597	0.01333142	0.016440444	0.019871494	0.024179198	0.035660107	0.053905584	0.09002261	0.15168269	0.26693124	0.4614609	0.75403184
Delta Rn values	-0.09054654	-0.05205871	-0.031866595	-0.01867939	-0.006288925	0.001413149	0.005392912	0.008430104	0.009887043	0.008444846	0.006475939	0.008016206	0.006289908	0.005307271	0.004985887	0.004754668	0.005469404	0.005645244	0.003813483	0.002879106	0.002517038	7.53E-04	-0.001435262	-0.00115639	-0.003473515	-0.004546115	-0.00143065	-0.002732468	-0.004613443	-0.006095444	-0.004858244	-0.003299018	-8.63E-04	0.008745947	0.0251196	0.0593648	0.11915306	0.23252977	0.42518762	0.7158867
DDCT Values	48		Orbital Control	HPRT	Target	34.407692									FALSE																									
49	Orbital Control	HPRT	Target	33.325718	34.350445	2.698726																																		
Rn values	-0.11075002	-0.104275815	-0.09942767	-0.09270737	-0.08503104	-0.08438621	-0.08114129	-0.08008828	-0.07791558	-0.074910104	-0.07264369	-0.07503332	-0.07212885	-0.0692331	-0.07197995	-0.07018632	-0.06946331	-0.07073716	-0.06907515	-0.06794689	-0.06777118	-0.067031674	-0.06730036	-0.06764232	-0.06501813	-0.0630734	-0.06354891	-0.063065246	-0.06361106	-0.062777266	-0.05973364	-0.055526108	-0.047915667	-0.026987955	-0.003771794	0.048815317	0.13982876	0.30044287	0.56303436	0.9184067
Delta Rn values	-0.022485029	-0.017016511	-0.013174053	-0.007459444	-7.89E-04	-0.001149652	0.001089575	0.001136901	0.002303914	0.004303702	0.005564429	0.00216911	0.004067897	0.005957961	0.002205423	0.002993366	0.002710684	4.31E-04	0.001087469	0.001210046	3.80E-04	1.14E-04	-0.001160484	-0.002508138	-8.90E-04	4.94E-05	-0.001431783	-0.001953809	-0.003505311	-0.003677203	-0.001639265	0.001562581	0.008167334	0.02808936	0.050299834	0.10188126	0.191889	0.35149744	0.61308324	0.9674499
DDCT Values	49		Orbital Control	HPRT	Target	33.325718									FALSE																									
50	Orbital Control	HPRT	Target	36.947857	34.350445	2.698726																																		
Rn values	-0.120585606	-0.1165201	-0.1139869	-0.11063109	-0.10661677	-0.10670907	-0.104826614	-0.104280695	-0.10237665	-0.102774195	-0.10290195	-0.10081182	-0.10077712	-0.099835046	-0.09841115	-0.09773883	-0.09628499	-0.09763959	-0.09557995	-0.094939664	-0.09574853	-0.0960267	-0.09449375	-0.09302944	-0.09281904	-0.09349401	-0.091125995	-0.09057802	-0.09169906	-0.08958521	-0.08867945	-0.08866476	-0.08610992	-0.08499711	-0.08161482	-0.07969472	-0.06906301	-0.053787675	-0.025135687	0.02726689
Delta Rn values	-0.010220203	-0.006905993	-0.005124093	-0.002519581	7.43E-04	-1.00E-04	0.001031007	8.26E-04	0.00197838	8.30E-04	-4.95E-05	0.00128932	5.73E-04	7.63E-04	0.001436096	0.001357117	0.002059659	-4.62E-05	0.001262106	0.001151097	-4.09E-04	-0.001438536	-6.57E-04	5.61E-05	-4.85E-04	-0.001911033	-2.94E-04	-4.98E-04	-0.002369968	-0.001007416	-8.53E-04	-0.001589565	2.14E-04	5.75E-04	0.003206485	0.004375293	0.014255705	0.028779741	0.056680433	0.10833171
DDCT Values	50		Orbital Control	HPRT	Target	36.947857									FALSE																									
51	Orbital Control	AXIN	Target	27.242186	28.90642	1.5185088																																		
Rn values	-0.106508575	-0.08573402	-0.07358445	-0.064937614	-0.058714326	-0.05565529	-0.051544845	-0.047665086	-0.04589857	-0.045828946	-0.04030602	-0.041782923	-0.040549763	-0.038885064	-0.037601057	-0.034837518	-0.035304487	-0.03257045	-0.03179156	-0.03349237	-0.026396137	-0.01953978	-0.013180363	0.003048818	0.036251124	0.097579025	0.21035077	0.41994956	0.7486834	1.1742308	1.613171	2.0311515	2.417126	2.777275	3.067552	3.335803	3.5545955	3.7276406	3.8513618	3.9433224
Delta Rn values	-0.039327163	-0.020668875	-0.01063558	-0.004105011	2.01E-06	9.45E-04	0.00293895	0.00470244	0.004352684	0.002306041	0.005712697	0.002119525	0.001236416	7.85E-04	-4.74E-05	6.00E-04	-0.001983386	-0.00136562	-0.002702998	-0.006520079	-0.001540113	0.003199973	0.007443122	0.021556035	0.05264207	0.111853704	0.22250918	0.4299917	0.75660926	1.1800404	1.6168643	2.0327287	2.4165866	2.7746196	3.0627804	3.328915	3.545591	3.71652	3.838125	3.9279692
Study Values	28.90642166	AXIN	Orbital Control																																					
Study Stat Values	9	-5.444025803	 	3.096609576	1.356810919																																			
Study RQ Values	H2O control	1518.242544	180.8772622	12743.78214	-10.56818657	-151724.2544																																		
DDCT Values	51		Orbital Control	AXIN	Target	27.242186		-5.444026	3.0966096	1.3568109	0	1518.2426	180.87726	12743.782	FALSE	-10.568187																								
52	Orbital Control	AXIN	Target	28.186743	28.90642	1.5185088																																		
Rn values	-0.12392434	-0.11101099	-0.1033255	-0.0992477	-0.0930161	-0.09255733	-0.090728015	-0.08598867	-0.08417728	-0.085556574	-0.08219941	-0.08219629	-0.07907239	-0.07833611	-0.0770337	-0.07590219	-0.07427853	-0.07581853	-0.07238633	-0.07295857	-0.0679511	-0.06374247	-0.062790304	-0.0513278	-0.032949034	-0.002427565	0.060831312	0.17636445	0.38544413	0.7142178	1.1282624	1.5378197	1.9394319	2.288241	2.6160643	2.9067175	3.159944	3.3688068	3.5359259	3.6675181
Delta Rn values	-0.022802701	-0.011567442	-0.005560039	-0.003160326	0.001393186	1.74E-04	3.25E-04	0.003386359	0.003519665	4.62E-04	0.00214136	4.66E-04	0.001912204	9.70E-04	5.95E-04	4.82E-05	-6.28E-06	-0.003224367	-0.001470254	-0.003720583	-3.91E-04	0.002139345	0.001413427	0.011197846	0.027898524	0.05674191	0.1183227	0.23217775	0.43957934	0.76667494	1.1790414	1.5869207	1.9868548	2.3339858	2.660131	2.9491062	3.2006545	3.4078393	3.57328	3.7031944
Study Values	28.90642166	AXIN	Orbital Control																																					
Study Stat Values	9	-5.444025803	 	3.096609576	1.356810919																																			
Study RQ Values	H2O control	1518.242544	180.8772622	12743.78214	-10.56818657	-151724.2544																																		
DDCT Values	52		Orbital Control	AXIN	Target	28.186743		-5.444026	3.0966096	1.3568109	0	1518.2426	180.87726	12743.782	FALSE	-10.568187																								
53	Orbital Control	AXIN	Target	30.595535	28.90642	1.5185088																																		
Rn values	-0.080411695	-0.0772036	-0.07542797	-0.07182047	-0.069416806	-0.07057743	-0.069609	-0.06894692	-0.06945413	-0.068086885	-0.06765717	-0.0669353	-0.06750811	-0.066807605	-0.067053914	-0.064367294	-0.06574522	-0.06592436	-0.06453775	-0.06322822	-0.0638141	-0.063115396	-0.061751876	-0.05933566	-0.05630648	-0.04885328	-0.035578106	-0.011034625	0.035531934	0.12426169	0.2840861	0.5518091	0.90561604	1.270079	1.6174483	1.9389205	2.2337084	2.4955928	2.7289217	2.9274738
Delta Rn values	-0.006508799	-0.003877088	-0.002677842	3.53E-04	0.002180558	4.44E-04	8.36E-04	9.21E-04	-1.62E-04	6.29E-04	4.82E-04	6.27E-04	-5.22E-04	-3.98E-04	-0.001220381	8.90E-04	-0.001064453	-0.001819977	-0.001009748	-2.77E-04	-0.001438869	-0.001316544	-5.29E-04	0.001310426	0.003763221	0.010640041	0.02333883	0.04730593	0.0932961	0.18144947	0.34069753	0.6078441	0.9610747	1.3249613	1.6717542	1.99265	2.2868614	2.5481696	2.780922	2.9788978
Study Values	28.90642166	AXIN	Orbital Control																																					
Study Stat Values	9	-5.444025803	 	3.096609576	1.356810919																																			
Study RQ Values	H2O control	1518.242544	180.8772622	12743.78214	-10.56818657	-151724.2544																																		
DDCT Values	53		Orbital Control	AXIN	Target	30.595535		-5.444026	3.0966096	1.3568109	0	1518.2426	180.87726	12743.782	FALSE	-10.568187																								
54	Orbital Control	THSB1	Target	14.971646	16.912888	2.1048684																																		
Rn values	-0.13069493	-0.11195152	-0.102125406	-0.096054666	-0.08862373	-0.08642465	-0.08288762	-0.07993639	-0.07743804	-0.07532357	-0.07196803	-0.0674964	-0.058263708	-0.044266682	-0.01779644	0.03098155	0.11496556	0.26748228	0.5199839	0.88990706	1.3651649	1.888802	2.3900254	2.8156378	3.1551054	3.3853745	3.5426652	3.6363666	3.6999362	3.727758	3.7405381	3.7575343	3.7643054	3.772346	3.7877817	3.7920177	3.7981334	3.797334	3.8058605	3.8129704
Delta Rn values	-0.025149401	-0.009901025	-0.003569935	-9.94E-04	0.002941685	0.001645741	0.001687743	0.001143944	1.47E-04	-0.001233284	-0.001372771	-3.96E-04	0.005341494	0.015843492	0.03881871	0.08410167	0.16459066	0.31361234	0.5626189	0.92904705	1.4008099	1.920952	2.4186802	2.8407977	3.1767702	3.4035444	3.5573401	3.6475463	3.7076209	3.7319477	3.7412329	3.754734	3.75801	3.7625556	3.7744963	3.7752373	3.777858	3.7735634	3.778595	3.7822099
Study Values	16.91288694	THSB1	Orbital Control																																					
Study Stat Values	9	-17.43756053	 	3.422512699	1.481565475																																			
Study RQ Values	H2O control	41924.56795	4107.299929	427937.9221	-15.3555083	-4192356.795																																		
DDCT Values	54		Orbital Control	THSB1	Target	14.971646		-17.437561	3.4225128	1.4815655	0	41924.566	4107.3	427937.94	FALSE	-15.355508																								
55	Orbital Control	THSB1	Target	15.724793	16.912888	2.1048684																																		
Rn values	-0.11676896	-0.09729929	-0.088835634	-0.082102954	-0.079482585	-0.07723984	-0.07365775	-0.07378927	-0.07206001	-0.06865068	-0.06763413	-0.06331146	-0.061091904	-0.051363245	-0.035742223	-0.006022198	0.049681477	0.14457299	0.31531772	0.58717674	0.967244	1.4339821	1.9168078	2.364238	2.74138	3.0262148	3.234527	3.3725183	3.45983	3.50999	3.5427704	3.561733	3.577662	3.5893831	3.5950162	3.6055708	3.6126788	3.6222167	3.6209311	3.6242824
Delta Rn values	-0.02625983	-0.009228396	-0.003202975	0.001091468	0.0012736	0.001078107	0.00222196	-3.48E-04	-0.001056775	-8.57E-05	-0.001507365	3.77E-04	1.58E-04	0.007448807	0.02063159	0.04791338	0.10117882	0.1936321	0.3619386	0.6313594	1.0089884	1.4732883	1.9536757	2.3986678	2.7733715	3.055768	3.261642	3.397195	3.4820685	3.5297902	3.5601325	3.5766568	3.5901475	3.5994303	3.6026254	3.6107416	3.6154113	3.6225111	3.6187873	3.6197002
Study Values	16.91288694	THSB1	Orbital Control																																					
Study Stat Values	9	-17.43756053	 	3.422512699	1.481565475																																			
Study RQ Values	H2O control	41924.56795	4107.299929	427937.9221	-15.3555083	-4192356.795																																		
DDCT Values	55		Orbital Control	THSB1	Target	15.724793		-17.437561	3.4225128	1.4815655	0	41924.566	4107.3	427937.94	FALSE	-15.355508																								
56	Orbital Control	THSB1	Target	17.415792	16.912888	2.1048684																																		
Rn values	-0.26323915	-0.2618521	-0.26082632	-0.26200715	-0.26098868	-0.25917828	-0.2586749	-0.2581976	-0.25777638	-0.2575361	-0.25850555	-0.2552713	-0.25580782	-0.2533474	-0.24832503	-0.23798977	-0.2226701	-0.19430292	-0.13535717	-0.035223193	0.13925526	0.40792248	0.7755144	1.2125831	1.6515324	2.0485241	2.3852184	2.6435654	2.8272085	2.9614527	3.051193	3.0998442	3.1290865	3.1586862	3.1724136	3.1790116	3.18139	3.186811	3.1938403	3.1972568
Delta Rn values	-2.04E-04	5.35E-04	9.13E-04	-9.15E-04	-5.45E-04	6.18E-04	4.73E-04	3.03E-04	7.62E-05	-3.31E-04	-0.001948722	6.38E-04	-5.47E-04	0.001265884	0.005640396	0.015327813	0.029999638	0.057718966	0.11601686	0.21550299	0.38933358	0.657353	1.024297	1.4607178	1.8990194	2.2953632	2.6314096	2.889109	3.072104	3.2057004	3.294793	3.342796	3.3713906	3.4003425	3.413422	3.419372	3.4211028	3.425876	3.4322574	3.435026
Study Values	16.91288694	THSB1	Orbital Control																																					
Study Stat Values	9	-17.43756053	 	3.422512699	1.481565475																																			
Study RQ Values	H2O control	41924.56795	4107.299929	427937.9221	-15.3555083	-4192356.795																																		
DDCT Values	56		Orbital Control	THSB1	Target	17.415792		-17.437561	3.4225128	1.4815655	0	41924.566	4107.3	427937.94	FALSE	-15.355508																								
57	Orbital Control	ANGP2	Target	29.239866	30.912447	1.681703																																		
Rn values	-0.12392945	-0.111285895	-0.10362126	-0.09599817	-0.09187038	-0.08800977	-0.08720653	-0.082914904	-0.08292486	-0.08004577	-0.07848304	-0.076254256	-0.074204475	-0.07442754	-0.07306765	-0.07182993	-0.069771506	-0.0709867	-0.06718	-0.06659422	-0.06616525	-0.06450964	-0.06297959	-0.06253181	-0.060826525	-0.055740934	-0.051980276	-0.04213131	-0.028558705	-0.004152331	0.037629083	0.111071005	0.23804322	0.44748655	0.7745509	1.2292562	1.757677	2.2581017	2.6345277	2.874873
Delta Rn values	-0.026206829	-0.015228819	-0.009229728	-0.003272181	-8.10E-04	0.001385131	5.23E-04	0.003148906	0.001473407	0.002686954	0.002584139	0.003147376	0.003531613	0.001643006	0.001337349	9.10E-04	0.001302404	-0.001578338	5.63E-04	-5.17E-04	-0.001753521	-0.00176345	-0.001898943	-0.003116707	-0.00307697	3.43E-04	0.00243819	0.010621613	0.022528673	0.045269504	0.085385375	0.15716174	0.2824684	0.4902462	0.81564504	1.2686847	1.79544	2.2941992	2.6689596	2.9076393
Study Values	30.91244634	ANGP2	Orbital Control																																					
Study Stat Values	9	-3.438001124	 	3.179818639	1.388516651																																			
Study RQ Values	H2O control	1.30E-06	1.47E-07	1.15E-05	19.55475661	99.99987015																																		
DDCT Values	57		Orbital Control	ANGP2	Target	29.239866		-3.4380012	3.1798186	1.3885167	0	1.30E-06	1.47E-07	1.15E-05	FALSE	19.554756																								
58	Orbital Control	ANGP2	Target	29.584702	30.912447	1.681703																																		
Rn values	-0.1576894	-0.14868346	-0.14766836	-0.1437215	-0.14172828	-0.13866496	-0.13635467	-0.13586086	-0.13485941	-0.13055527	-0.1322062	-0.13165882	-0.12984349	-0.13011818	-0.12717715	-0.12713908	-0.124028765	-0.12662056	-0.12444759	-0.12395226	-0.123335905	-0.11994966	-0.12008401	-0.1210475	-0.11884842	-0.11828014	-0.113184616	-0.10552059	-0.095725566	-0.07488838	-0.03723559	0.026192926	0.14240088	0.33493224	0.6435564	1.0895607	1.6385169	2.1935105	2.667259	3.0159824
Delta Rn values	-0.012113937	-0.004323137	-0.004523174	-0.001791453	-0.001013363	8.35E-04	0.001929981	0.001208656	9.95E-04	0.004083976	0.001217912	5.50E-04	0.001150357	-3.39E-04	0.001386428	2.09E-04	0.002104544	-0.001702386	-7.45E-04	-0.001464356	-0.002063133	1.08E-04	-0.001241506	-0.003420127	-0.002436185	-0.003083041	7.97E-04	0.007246242	0.015826132	0.035448186	0.07188584	0.13409922	0.24909204	0.44040826	0.74781734	1.1926064	1.7403475	2.294126	2.7666593	3.1141677
Study Values	30.91244634	ANGP2	Orbital Control																																					
Study Stat Values	9	-3.438001124	 	3.179818639	1.388516651																																			
Study RQ Values	H2O control	1.30E-06	1.47E-07	1.15E-05	19.55475661	99.99987015																																		
DDCT Values	58		Orbital Control	ANGP2	Target	29.584702		-3.4380012	3.1798186	1.3885167	0	1.30E-06	1.47E-07	1.15E-05	FALSE	19.554756																								
59	Orbital Control	ANGP2	Target	31.850018	30.912447	1.681703																																		
Rn values	-0.1242494	-0.09575811	-0.08352913	-0.07719819	-0.07022153	-0.065374404	-0.06283359	-0.061972685	-0.061687686	-0.060891625	-0.061903074	-0.06140455	-0.059244387	-0.057951286	-0.058947902	-0.055711303	-0.05279349	-0.054271273	-0.050498657	-0.04594996	-0.04855478	-0.04414655	-0.044267483	-0.04472252	-0.043562613	-0.04341157	-0.04203001	-0.039209977	-0.03540702	-0.028784387	-0.021372175	-0.001826619	0.025863918	0.074357614	0.15852232	0.3005918	0.52941304	0.8590999	1.2759098	1.7149994
Delta Rn values	-0.0474493	-0.020418655	-0.009650324	-0.004780034	7.36E-04	0.004122458	0.005202622	0.004602881	0.003427233	0.002762646	2.91E-04	-6.72E-04	2.79E-05	-1.40E-04	-0.002596872	-8.21E-04	6.36E-04	-0.002302187	9.78E-06	0.003097832	-9.68E-04	0.001979946	3.98E-04	-0.001517321	-0.001818063	-0.003127669	-0.003206756	-0.00184737	4.95E-04	0.005656924	0.011608488	0.029693395	0.055923283	0.10295633	0.18566039	0.3262692	0.5536298	0.881856	1.2972052	1.7348343
Study Values	30.91244634	ANGP2	Orbital Control																																					
Study Stat Values	9	-3.438001124	 	3.179818639	1.388516651																																			
Study RQ Values	H2O control	1.30E-06	1.47E-07	1.15E-05	19.55475661	99.99987015																																		
DDCT Values	59		Orbital Control	ANGP2	Target	31.850018		-3.4380012	3.1798186	1.3885167	0	1.30E-06	1.47E-07	1.15E-05	FALSE	19.554756																								
60	Orbital Control	HPRT	Target	40	34.350445	2.698726																																		
Rn values	-0.26786715	-0.24644116	-0.23485892	-0.22618909	-0.21531257	-0.20842919	-0.19885494	-0.1968933	-0.19717924	-0.20020075	-0.20037317	-0.19982803	-0.19904035	-0.20072731	-0.20125417	-0.20152785	-0.19863069	-0.19903606	-0.19678454	-0.19691838	-0.19601695	-0.19776624	-0.19611908	-0.19777173	-0.19677556	-0.19663839	-0.19323924	-0.19453043	-0.19328561	-0.19344819	-0.1922702	-0.19133112	-0.19157171	-0.1888173	-0.1866924	-0.18338448	-0.1852268	-0.18358956	-0.18576238	-0.18099003
Delta Rn values	-0.05487538	-0.03421212	-0.023392608	-0.015485513	-0.005371721	7.49E-04	0.009560454	0.010759358	0.009710692	0.005926454	0.004991304	0.004773719	0.004798666	0.002348976	0.001059387	2.30E-05	0.002157413	9.89E-04	0.002478105	0.001581534	0.001720236	-7.92E-04	9.26E-05	-0.002322727	-0.002089283	-0.002714847	-7.84E-05	-0.002132342	-0.001650257	-0.002575558	-0.002160305	-0.001983948	-0.002987271	-9.96E-04	3.67E-04	0.002911777	3.07E-04	0.001181234	-0.001754307	0.002255314
